title,production,release_year,genre1,genre2,genre3,director1,director2,actor1,actor2,actor3,budget,production_country
Lady Bloodfight,  Voltage Pictures ,2016, Action , Crime , Drama, Chris Nahon (I),,Amy Johnston,  Muriel Hofmann,  Jenny Wu,10,US
Mahanati,  Swapna Cinema ,2018, Biography , Drama,, Nag Ashwin,,Keerthi Suresh,  Dulquer Salmaan,  Samantha Ruth Prabhu,3.6,IN
The Summit,  Kramer & Sigman Films ,2017, Drama , Mystery , Thriller, Santiago Mitre,,Walter Andrade,  Ricardo Darín,  Dolores Fonzi,6,AR
Cold Moon,  Curmudgeon Films ,2016, Crime , Drama , Horror, Griff Furst,,Josh Stewart,  Candy Clark,  Robbie Kay,3.2,US
Daylight's End,  Throttle Films ,2016, Action , Fantasy , Horror, William Kaufman (I),,Johnny Strong,  Lance Henriksen,  Louis Mandylor,2,US
Southside with You,  Get Lifted Film Company ,2016, Biography , Drama , History, Richard Tanne,,Tika Sumpter,  Parker Sawyers,  Vanessa Bell Calloway,1.5,US
The Crossbreed,  BD America ,2017, Horror , Thriller,, Biray Dalkiran,,Angela Durazo,  Nathan Schellerup,  Malinda Farrington,0.5,US
Skybound,  Visionz ,2017, Action , Thriller,, Alex Tavakoli,,Scarlett Byrne,  Gavin Stenhouse,  Rick Cosnett,6,DE
Alien Invasion: S.U.M.1,  Syrreal Entertainment ,2017, Horror , Sci-Fi , Thriller, Christian Pasquariello (I),,Iwan Rheon,  André Hennicke,  Rainer Werner,1,DE
The Little Vampire 3D,  A. Film ,2017, Animation , Adventure , Comedy, Richard Claus , Karsten Kiilerich,Rasmus Hardiker,  Amy Saville,  Jim Carter,10,DK
Furlough,  EFC Films ,2018, Comedy,,, Laurie Collyer,,Melissa Leo,  Tessa Thompson,  Edgar Ramírez,2,US
Antibirth,  Traverse Media ,2016, Horror,,, Danny Perez (VI),,Natasha Lyonne,  Chloë Sevigny,  Meg Tilly,3.5,US
Thunder Road,  The 10 East ,2018, Comedy , Drama,, Jim Cummings (V),,Jim Cummings,  Kendal Farr,  Nican Robinson,0.25,US
SiREN,  Big Picture Casting ,2016, Fantasy , Horror,, Gregg Bishop,,Chase Williamson,  Hannah Fierman,  Justin Welborn,0.3,US
Black Snow,  Pampa Films ,2017, Crime , Drama , Mystery, Martin Hodara,,Leonardo Sbaraglia,  Laia Costa,  Ricardo Darín,4,AR
One Percent More Humid,  La Pistola ,2017, Drama,,, Liz W. Garcia,,Maggie Siff,  Alessandro Nivola,  Juno Temple,3,US
Vigilante Diaries,  Oscar Gold Productions ,2016, Action , Crime , Thriller, Christian Sesma,,Paul Sloan," "" Quinton Rampage Jackson""",  Jason Mewes,5,US
Nina,  Ealing Studios Entertainment ,2016, Biography , Drama , Music, Cynthia Mort,,Zoe Saldana,  David Oyelowo,  Kevin Mambo,7,GB
Fragments of Love,  One Film ,2016, Drama,,, Fernando Vallejo (V),,Laura Aleman,  Angélica Aragón,  Angelica Blandon,1.8,PR
Girl Followed,  Creative Arts Entertainment Group Inc. ,2017, Thriller,,, Tom Shell (I),,Heather McComb,  Joey Lawrence,  Emma Fuhrmann,1,US
Drone,  Look to the Sky Films ,2017, Thriller,,, Jason Bourque,,Sean Bean,  Patrick Sabongui,  Mary McCormack,4,CA
All Saints,  Affirm Films ,2017, Drama,,, Steve Gomer,,John Corbett,  Cara Buono,  Myles Moore,6,US
A Winter Rose,  A Winter Rose ,2016, Drama , Music,, Riz Story,,Billy Zane,  Taryn Manning,  Edward Furlong,1.5,US
The House by the Sea,  Agat Films & Cie ,2017, Drama,,, Robert GuÃ©diguian,,Ariane Ascaride,  Jean-Pierre Darroussin,  Gérard Meylan,3.2,FR
Habit,  Not a Number ,2017, Horror,,, Simeon Halligan,,Jessica Barden,  Roxanne Pallett,  William Ash,1,GB
The Other Side,  Soul Rebel Entertainment ,2018, Comedy , Drama , Romance, Warren Pemberton,,Erik Stahl,  Brandy Noir,  Ryan Starks,0.4,US
The Monster Project,,2017, Action , Horror,, Victor Mathieu,,Toby Hemingway,  Justin Bruening,  Murielle Zuker,0.25,
Aruvi,  Dream Warrior Pictures ,2016, Drama,,, Arun Prabhu Purushothaman,,Padmashri Mohammad Ali,  Pradeep Anthony,  Arnold,0.4,IN
Things to Come,  CG CinÃ©ma ,2016, Drama,,, Mia Hansen-LÃ¸ve,,Isabelle Huppert,  André Marcon,  Roman Kolinka,2.1,FR
Operation Avalanche,  XYZ Films ,2016, Drama , Mystery , Thriller, Matt Johnson (LXXVII),,Matt Johnson,  Owen Williams,  Josh Boles,1.2,US
Pork Pie,  Four Knights Film ,2017, Action , Comedy , Crime, Matt Murphy (II),,"""Dean OGorman""",  James Rolleston,  Ashleigh Cummings,3.8,NZ
Norm of the North,  Assemblage Entertainment ,2016, Animation , Adventure , Comedy, Trevor Wall (I),,Rob Schneider,  Heather Graham,  Ken Jeong,7,IN
Hacker,  Skylight Picture Works ,2016, Crime , Drama , Thriller, Akan Satayev,,Callan McAuliffe,  Lorraine Nicholson,  Daniel Eric Gold,2,CA
Space Boobs in Space,  Gonzoriffic Films ,2017, Comedy,,, Andrew N. Shearer,,Coquette de Jour,  Pandora Disaster,  Ming Vase Dynasty,0.001,US
Cartels,  Daro Film Distribution ,2017, Action , Crime , Mystery, Keoni Waxman,,Rick Lee,  Maria Alexandra,  Stephanie West,7,MC
Did I Kill My Mother?,  Active Entertainment ,2018, Mystery,,, David Bush (XI),,Megan Park,  Austin Highsmith,  Dane Rhodes,0.5,US
Left Behind: Vanished - Next Generation,  EchoLight Studios ,2016, Adventure,,, Larry A. McLean,,Amber Frank,  Mason Dye,  Dylan Sprayberry,2,US
Beyond the Gates,  Destroy All Entertainment ,2016, Adventure , Horror,, Jackson Stewart (I),,Graham Skipper,  Chase Williamson,  Brea Grant,0.3,US
Wunderland,  Schuetzle Company Productions ,2018, Action , War,, Steven Luke,,Steven Luke,  Tom Berenger,  Mikeal Burgin,1,US
Summertime,  Indiana Production Company ,2016, Drama,,, Gabriele Muccino,,Matilda Anna Ingrid Lutz,  Jessica Rothe,  Scott Bakula,5.8,IT
An Inconvenient Sequel: Truth to Power,  Actual Films ,2017, Documentary,,, Bonni Cohen , Jon Shenk (I),Al Gore,  George W. Bush,  Bill Clinton,1,US
Code of Honor,  Code of Honor ,2016, Action , Crime , Thriller, Michael Winnick (I),,Steven Seagal,  Craig Sheffer,  James Russo,8,US
Batman: Return of the Caped Crusaders,  Warner Bros. Animation ,2016, Animation , Action , Adventure, Rick Morales (I),,Adam West,  Burt Ward,  Julie Newmar,3.5,US
The Lucky Man,  Lucky Films ,2018, Action , Drama , Sci-Fi, Norman Gregory McGuire,,Jesse James,  Mariana Paola Vicente,  Burton Gilliam,1,US
King Arthur and the Knights of the Round Table,  Benetone Films ,2017, Action,,, Jared Cohn,,Sara Malakul Lane," "" Eoin OBrien""",  Alexander Winters,0.3,TH
Trouble Is My Business,  Lumen Actus ,2018, Action , Adventure , Crime, Tom Konkle,,Vernon Wells,  Tom Konkle,  Brittney Powell,0.25,US
The Super,  Fortress Features ,2017, Thriller,,, Stephan Rick,,Patrick John Flueger,  Val Kilmer,  Louisa Krause,2.3,US
Greater,  Greater Productions ,2016, Biography , Family , Sport, David Hunt (XII),,Neal McDonough,  Leslie Easterbrook,  Christopher Severio,9,US
Heartbeats,  Bowery Hills Entertainment ,2017, Comedy , Drama , Music, Duane Adler,,Daphne Zuniga,  Justin Chon,  Paul McGillion,7.5,US
The Fall of the Krays,  Saracen Films ,2016, Crime,,, Zackary Adler,,Josh Myers,  Adrian Bouchet,  Phil Dunster,2,GB
After School Special,  Switzer Entertainment Group ,2017, Adventure , Comedy , Crime, Jared Cohn,,Richard Switzer,  Ryan King Persaud,  Kayden Kross,1,US
Diamond Cartel,,2017, Action , Adventure,, Salamat Mukhammed-Ali,,Armand Assante,  Karlygash Mukhamedzhanova," "" Peter OToole""",7,
A Plastic Ocean,,2016, Documentary,,, Craig Leeson,,David Attenborough,  Sylvia Earle,  Ben Fogle,3,
Khali the Killer,  Cardinalwood Content ,2017, Crime , Drama,, Jon Matthews (VIII),,Richard Cabral,  Ryan Dorsey,  Corina Calderon,1,US
Sniper: Special Ops,  Hybrid ,2016, Action , Drama , War, Fred Olen Ray,,Steven Seagal,  Rob Van Dam,  Tim Abell,8,US
Pussy Kills,  Rain of Fire Productions ,2017, Thriller,,, Gabriel Black (VI),,Lina Maya,  Izzy Martinez,  Kraig Million,0.025,US
The Bounce Back,  Ankle Sock & Baseball Pants ,2016, Comedy , Romance,, Youssef Delara,,Shemar Moore,  Nadine Velazquez,  Bill Bellamy,3,US
The Bronx Bull,  Sunset Pictures ,2016, Biography , Drama , Sport, Martin Guigui,,William Forsythe,  Joe Mantegna,  Tom Sizemore,7,US
The Rendezvous,,2016, Action , Adventure,, Amin Matalqa , Annemarie Jacir,Stana Katic,  Raza Jaffrey,  Alfonso Bassave,3.5,
Five Nights at Freddy's 4 the Movie,,2016, Animation , Horror,, Tyler Ervin (V),,Andrew Ervin,  Haley Musgrove,,0.005,
The Dark Tapes,  Thunder Road Incorporated ,2016, Horror , Mystery , Sci-Fi, Michael McQuown , Vincent J. Guastini,David Banks,  Sara Castro,  Cortney Palm,0.065,US
Female Fight Squad,  Cineville ,2016, Action , Drama,, Miguel A. Ferrer (I),,Amy Johnston,  Cortney Palm,  Rey Goyos,2,US
Little Men,  Race Point Films ,2016, Drama,,, Ira Sachs,,Greg Kinnear,  Jennifer Ehle,  Paulina García,2,US
Blood in the Water,,2016, Crime , Mystery , Thriller, Ben Cummings (I) , Orson Cummings,Willa Holland,  Charlbi Dean Kriek,  David S. Lee,1.5,
Headgame,  Sunday Funday Films ,2018, Horror,,, Steven Judd,,Sidney Allison,  Semi Anthony,  Cameron Bowen,1,US
Prevenge,  Gennaker ,2016, Comedy , Drama , Fantasy, Alice Lowe (III),,Alice Lowe,  Dan Renton Skinner,  Jo Hartley,0.104,GB
The Stronghold,  Kinorob ,2017, Fantasy,,, Yuriy Kovalyov (III),,Ivan Denysenko,  Georgi Derevyanskyi,  Daniil Kamenskyi,2,UA
Panfilov's 28,  Lybian Palette ,2016, Action , Drama , History, Kim Druzhinin , Andrey Shalopa,Maksim Abrosimov,  Sergey Agafonov,  Pavel Aseev,1.7,RU
Justice,  Chasing Butterflies Pictures ,2017, Western,,, Richard Gabai,,Stephen Lang,  Jackson Rathbone,  Jamie-Lynn Sigler,4,US
What the Waters Left Behind,  Black Mandala ,2017, Horror,,, Luciano Onetti , NicolÃ¡s Onetti,German Baudino,  Paula Brasca,  Mirta Busnelli,1.1,NZ
Taking Earth,  Digital Forces ,2017, Sci-Fi,,, Grant Humphreys,,Ronan Quarmby,  Brad Richards,  Barbara Harrison,0.25,ZA
Burn Your Maps,  Cinelou Films ,2016, Adventure,,, Jordan Roberts (VI),,Vera Farmiga,  Jacob Tremblay,  Virginia Madsen,8,US
Bad Kids of Crestview Academy,  BKG2H Productions ,2017, Action , Comedy , Thriller, Ben Browder,,Sammi Hanratty,  Colby Arps,  Sophia Ali,5,US
The Perfect Weapon,  VMI Worldwide ,2016, Action , Drama , Sci-Fi, Titus Paar,,Steven Seagal,  Richard Tyson,  Sasha Jackson,8,US
The Butterfly Tree,  Midwinter Films ,2017, Comedy , Drama , Family, Priscilla Cameron,,Melissa George,  Ewen Leslie,  Ed Oxenbould,3,AU
Dirty Lies,  Marshall Law Entertainment ,2017, Action , Crime , Drama, Jamie Marshall (I),,Mark L. Young,  Scout Taylor-Compton,  Tania Raymonde,1,US
Frat Star,  Frat Star Production Company ,2017, Comedy , Drama,, Grant S. Johnson (II) , Ippsie Jones,Connor Lawrence,  Justin Mark,  Cathryn Dylan,0.21,US
Bleed,  Spitfire Studios ,2016, Horror , Thriller,, Tripp Rhame (I),,Chelsey Crisp,  Riley Smith,  Michael Steger,0.55,US
Submerged,  Twisted Pictures ,2016, Action , Thriller,, Steven C. Miller,,Jonathan Bennett,  Talulah Riley,  Rosa Salazar,5,US
Vincent N Roxxy,  Unified Pictures ,2016, Crime , Drama , Thriller, Gary Michael Schultz,,Emile Hirsch,  Zoë Kravitz,  Emory Cohen,5,US
Beta Test,  Mirror Images LTD. ,2016, Action , Sci-Fi , Thriller, Nicholas Gyeney,,Manu Bennett,  Larenz Tate,  Linden Ashby,1.6,US
Anonymous 616,  Nail Driver Productions ,2018, Horror , Thriller,, Mike Boss,,Bella Shepard,  Emily Jordan,  Myles Cranford,0.027,US
Zombie Spring Breakers,  Capital City Entertainment ,2016, Comedy , Horror,, Andy Edwards (IX),,Cara Theobold,  Emily Atack,  Algina Lipskis,1,GB
The Asian Connection,  Parkside Pictures ,2016, Action , Crime , Drama, Daniel Zirilli,,Pim Bubear,  John Edward Lee,  Steven Seagal,2,US
Pushing Dead,  Bugsby Films ,2016, Comedy , Drama,, Tom E. Brown,,James Roday,  Robin Weigert,  Danny Glover,1,US
Intruder,  Stormchaser Films ,2016, Horror , Thriller,, Travis Zariwny,,Louise Linton,  John Robinson,  Moby,1,US
Reign of Judges: Title of Liberty - Concept Short,,2018, Action,,, Darin Southam,,Karina Lombard,  Eugene Brave Rock,  Ben Cross,0.17,
Cops and Robbers,  Badhouse Studios Mexico ,2017, Action,,, Scott Windhauser,,Michael Jai White," "" Quinton Rampage Jackson""",  Tom Berenger,5.5,MX
The Secret of Karma,  Alpha Hollywood Studios ,2017, Romance,,, Milan Friedrich,,Petra Buckova,  Marcia Cross,  Massimo Dobrovic,8,US
Syndicate Smasher,  New GenerAsian Pictures ,2017, Action , Crime , Drama, Benny Tjandra , Doug Tochioka,Mel Novak,  Laurene Landon,  David Prak,1,US
Pray for Rain,  ESX Entertainment ,2017, Drama , Mystery , Thriller, Alex Ranarivelo,,Jane Seymour,  Annabelle Stephenson,  Nicholas Gonzalez,3,US
The Dog Lover,  ESX Entertainment ,2016, Drama,,, Alex Ranarivelo,,James Remar,  Lea Thompson,  Jayson Blair,2,US
Flight Crew,  Three T Productions ,2016, Action , Adventure , Drama, Nikolay Lebedev (I),,Vladimir Mashkov,  Egor Morozov,  Agne Grudyte,10,RU
Stagecoach: The Texas Jack Story,  NGN Productions ,2016, Western,,, Terry Miles (II),,Trace Adkins,  Kim Coates,  Judd Nelson,2.2,CA
The Heart of Man,  Sypher Studios ,2017, Documentary,,, Eric Esau,,Robert Fleet,  Serena Karnagy,  Justin Torrence,1.2,US
Magi,  J-Plan ,2016, Horror,,, Hasan Karacadag,,Stephen Baldwin,  Michael Madsen,  Brianne Davis,1.1,TR
Out of the Shadows,  Bronte Pictures ,2017, Thriller,,, Dee McLachlan,,Goran D. Kleut,  Lisa Chappell,  Kendal Rae,2,AU
Poor Boy,  Them Gold Wolves ,2016, Drama , Western,, Robert Scott Wildes,,Michael Shannon,  Justin Chatwin,  Amanda Crew,0.4,US
House of Evil,  Event Film Distribution ,2017, Horror,,, Luca Boni , Marco Ristori,Andrew Harwood Mills,  Lucy Drive,  Désirée Giorgetti,0.5,CA
WEAPONiZED,  Status Media & Entertainment ,2016, Action , Sci-Fi , Thriller, Timothy Woodward Jr.,,Tom Sizemore,  Johnny Messner,  Mickey Rourke,2.4,US
Cardboard Boxer,  Night and Day Pictures ,2016, Drama,,, Knate Lee,,Thomas Haden Church,  Terrence Howard,  Boyd Holbrook,10,US
Wildflower,  Faith Street Film Partners ,2016, Drama , Thriller,, Nicholas DiBella,,Nathalia Ramos,  Cody Longo,  Alexa Rose Steele,0.65,US
The Amendment,  Blue Forest Entertainme ,2018, Action,,, Paul Brown (III),,Mike Vogel,  Taryn Manning,  Silas Weir Mitchell,2,US
Swamp Ape,  Hollyward Entertainment ,2017, Adventure , Comedy , Horror, Geoff Ward (I),,Vanessa Capriglione,  Justin Brackett,  Adam Brudnicki,0.02,US
Baaghi,  Benetone Films ,2016, Action , Thriller,, Sabir Khan (I),,Shraddha Kapoor,  Tiger Shroff,  Sudheer Babu Posani,5.2,TH
Juarez 2045,  Abrupt Films ,2017, Action , Adventure , Sci-Fi, Chris Le (I),,Danny Trejo,  Alexander P. Heartman,  Brad Schmidt,1,CA
The Resurrection of Gavin Stone,  Blumhouse Productions ,2016, Comedy , Drama , Family, Dallas Jenkins,,Brett Dalton,  Anjelah Johnson-Reyes,  Neil Flynn,2,US
Lucid Dream,  Rod Pictures ,2017, Sci-Fi , Thriller,, Kim Joon-Sung,,Kyung-gu Sol,  Soo Go,  Hye-jeong Kang,5,KR
Blood Honey,  Lumanity Productions ,2017, Drama , Horror , Mystery, Jeff Kopas,,Shenae Grimes-Beech,  Gil Bellows,  Kenneth Mitchell,2,CA
They're Watching,  Best Served Cold Productions ,2016, Comedy , Horror , Thriller, Jay Lender , Micah Wright,Brigid Brannagh,  David Alpay,  Kris Lemche,1.8,US
The Terrible Two,  Orange St Films ,2018, Horror , Thriller,, Billy Lewis (I),,Donny Boaz,  Cari Moskow,  Reid Doyle,0.035,US
Fitoor,  Film Polska Production ,2016, Drama , Romance,, Abhishek Kapoor (I),,Aditya Roy Kapoor,  Katrina Kaif,  Tabu,9,PL
The Green Fairy,  Upward Rising Development ,2016, Documentary , Fantasy , History, Dan Frank (III),,Mindy Robinson,  Richard Grieco,  Roddy Piper,0.2,US
HoneyBee,,2016, Horror,,, Nicki Harris (I),,Jane Wiedlin,  Connie Saltzman,  Lorin Partalis,0.25,
1 Buck,  Mad Street Motion Pictures ,2017, Drama , Thriller,, Fabien Dufils,,John Freeman,  Katie Ryan,  Cassi Colvin,1.4,US
Neerja,  Bling Unplugged ,2016, Biography , Drama , Thriller, Ram Madhvani,,Sonam Kapoor,  Shabana Azmi,  Yogendra Tikku,2.9,IN
Shortwave,  Cue Mark Films ,2016, Sci-Fi , Thriller,, Ryan Gregory Phillips,,Juanita Ringeling,  Tina Feliciano,  Nina Senicar,0.35,US
Teleios,  Thousand Mile Media ,2017, Drama , Sci-Fi,, Ian Truitner,,Sunny Mabrey,  Lance Broadway,  T.J. Hoban,1,US
End of a Gun,  Actionhouse Pictures ,2016, Action , Crime , Thriller, Keoni Waxman,,Steven Seagal,  Florin Piersic Jr.,  Jade Ewen,7.5,US
A Weekend with the Family,  Footage Films ,2016, Comedy,,, Chris Stokes (I),,Marques Houston,  Karrueche Tran,  Wendy Raquel Robinson,4,US
Natural Born Pranksters,  Studio71 ,2016, Comedy,,, Roman Atwood , Ben Pluimer,Roman Atwood,  Vitaly Zdorovetskiy,  Dennis Roady,1,US
Night of Something Strange,  Hurricane Bridge Entertainment ,2016, Comedy , Horror,, Jonathan Straiton,,Trey Harrison,  Rebecca C. Kasek,  Wayne W. Johnson,0.04,US
2047: Virtual Revolution,  Lidderdalei Productions ,2016, Action , Crime , Sci-Fi, Guy-Roger Duvert,,Mike Dopud,  Jane Badler,  Jochen Hägele,3.2,US
Fasting,  Doug Orchard Films ,2017, Documentary,,, Doug Orchard,,Joseph Antoun,  Brittany Auerbach,  John Barone,0.2,US
Inconceivable,  Creative Arts Entertainment Group Inc. ,2016, Drama , Thriller,, Tom Shell (I),,Natasha Henstridge,  Marguerite Moreau,  Jason Gerhardt,1.3,US
Five Fingers for Marseilles,  Game 7 Films ,2017, Drama , Thriller , Western, Michael Matthews (VI),,Zethu Dlomo,  Garth Breytenbach,  Kenneth Fok,1,US
Director's Cut,  Clink Productions ,2016, Comedy , Horror,, Adam Rifkin (I),,Hugo Antoine,  Yann Darkwa,  François Dupont,5,US
Best & Worst Movies of 2016,,2017, Comedy,,,,,Hae Il,  Ji Oh,  Yeong Seon,0.00002,
Joel,  JRH Films ,2018, Crime , Horror , Thriller, John R. Hand,,Victoria Almeida,  Diego Gentile,  Joel Noguera,0.001,US
Yamasong: March of the Hollows,  Dark Dunes Productions ,2017, Animation , Adventure , Fantasy, Sam Koji Hale,,Abigail Breslin,  Nathan Fillion,  Freida Pinto,2,AE
The 5th Kind,  Squared Media ,2017, Horror,,, Randall Cropp,,Zech Johnson,  Sean Taylor,  Randall Cropp,0.005,US
Piranha Sharks,  Bitter End Media Group ,2017, Horror , Thriller,, Leigh Scott (II),,Collin Galyean,  Ramona Mallory,  Josh Hammond,0.1,US
The Campus,  Gas Money Pictures ,2018, Horror,,, J. Horton,,Rachel Amanda Bryant,  Brit Sheridan,  Scott Menville,0.05,US
Halloweed,  J&R Productions ,2016, Action , Adventure , Comedy, LazRael Lison,,Simon Rex,  Shannon Brown," "" Jim OHeir""",0.45,US
Cheerleader Chainsaw Chicks,  VPDSR&R ,2018, Comedy,,, Virginia Perfili,,Quinn Sharrow,  Alexis Giller,  Calli Hynes,0.25,US
Lilith,  TiberiusFilm ,2018, Horror,,, Alexander T. Hwang,,Gilda Nomacce,  Vinícius Queiroz,  Lom Rossman,0.032,US
Brokedown,  PoleStar Productions ,2018, Thriller,,, John Reign,,Allie Marshall,  Carl Bailey,  Jimmy Gerovac,0.01,US
Lycan,  1 Bullet in the Gun Productions ,2017, Horror , Thriller,, Bev Land,,Dania Ramirez,  Jake Lockett,  Rebekah Graf,0.25,US
The Redeeming,  Osmium Films ,2018, Drama , Mystery , Thriller, Brian Barnes (III),,Robert Blackwood,  Robert Coren,  Ryan Wichert,0.15,GB
The Jonah Movie,  Enjoy New Media ,2018, Documentary,,, Denver Bailey,,Jonah Sorrentino,  Todd Collins,  Tommy Kyllonen,0.01,US
Mr. Stein Goes Online,  Ici et LÃ  Productions ,2017, Comedy , Romance,, StÃ©phane Robelin,,Pierre Richard,  Yaniss Lespert,  Fanny Valette,5,FR
In-Lawfully Yours,  Home Theater Films ,2016, Comedy , Romance,, Robert Kirbyson,,Chelsey Crisp,  Lisa Renz,  Leticia Rivera,0.625,US
Seduced,"  Market Street Films, Venice ",2016, Drama , Thriller,, Jessica Janos,,Elisabeth Röhm,  Jon Prescott,  Julie Mond,0.7,US
Revenge of the Samurai Cop,  CineRidge Entertainment ,2017, Action,,, Gregory Hatanaka,,Mathew Karedas,  Tommy Wiseau,  Mark Frazer,1,US
The Horse Dancer,,2017, Family,,, Joel Paul Reisig,,Richard Karn,  Jason London,  Sophie Bolen,0.1,
El Fantasma de mi Novia,  Estudio QuitasueÃ±o ,2018, Comedy , Romance,," Francis ""Indio"" Disla Ferreira",,William Levy,  Carmen Villalobos,  Susana Dosamantes,1.8,DO
The Amityville Terror,  AZ Film Studios ,2016, Horror,,, Michael Angelo (XXX),,Nicole Tompkins,  Kaiwi Lyman,  Kim Nielsen,0.5,US
Babes with Blades,,2018, Fantasy,,, Cecily Fay,,Jason Beeston,  Cheryl Burniston,  Aaliyah Jade Carr,0.25,
The Most Dangerous Game,  JACA Films ,2016, Action,,, Andrew Legatt,,RaeAnn Athman,  Collin Dahlman,  Caitlin Daly,0.01,US
Grandmother's Gold,,2018, Comedy,,, Brian Jordan Alvarez,,Brian Jordan Alvarez,  Stephanie Koenig,  Pete Zias,0.01,
The Last Scout,  Templeheart Films ,2017, Sci-Fi,,, Simon Phillips (IV),,Blaine Gray,  Simon Phillips,  Rebecca Ferdinando,3.2,GB
Reis,  KafkasÃ¶r Film Akademisi ,2017, Biography , Drama,, HÃ¼daverdi Yavuz,,Orhan Aydin,  Özlem Balci,  Volkan Basaran,8,TR
North of the City,  Patchy Fog ,2016, Thriller,,, Paul Zimmerman (I),,Terri Conn,  Austin Peck,  Allegra Cohen,0.005,US
The Day After,  Jeonwonsa Film ,2017, Drama , Romance,, Sang-soo Hong,,Yunhee Cho,  Ki Joabang,  Min-hee Kim,0.1,KR
Missing 411,  NABS ,2016, Documentary,,, Michael DeGrazier , Benjamin Paulides,Jaryd Atadero,  DeOrr Kunz Jr.,  Nate Eaton,0.1,US
Drifter,  Green Star Films ,2016, Crime , Horror , Thriller, Chris von Hoffmann,,Aria Emory,  Drew Harwood,  Monique Rosario,0.04,US
All Out Dysfunktion!,  Exertion Films ,2016, Comedy , Drama,, Ryan LeMasters,,Geraldine Viswanathan,  Ron Jeremy,  Bridgette B.,1,US
